00416,"Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter as calcium carbonate",Not checked,Alkalinity,mg/l CaCO3,Total,,,,,
00417,"Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate",Not checked,Alkalinity,mg/l CaCO3,Total,,,,,
00418,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",Not checked,Alkalinity,mg/l CaCO3,Dissolved,,,,,
00419,"Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate",Not checked,Alkalinity,mg/l CaCO3,Total,,,,,
00420,"Hydroxide, water, unfiltered, milligrams per liter",Not checked,Hydroxide,mg/l,Total,,,,,
00421,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate",Not checked,Alkalinity,mg/l CaCO3,Dissolved,,,,,
00425,"Bicarbonate, water, unfiltered, milligrams per liter as calcium carbonate",Not checked,Bicarbonate,mg/l CaCO3,Total,,,,,
00430,"Carbonate, water, unfiltered, milligrams per liter as calcium carbonate",Not checked,Carbonate (CO3),mg/l CaCO3,Total,,,,,
00431,"Acid neutralizing capacity, water, unfiltered, milligrams per liter as calcium carbonate",Not checked,Alkalinity,mg/l CaCO3,Total,,,,,
00435,"Acidity, water, unfiltered, milligrams per liter as calcium carbonate",Not checked,Acidity,mg/l CaCO3,Total,,,,,
00436,"Mineral acidity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate",Not checked,"Acidity, mineral methyl orange (as CaCO3)",mg/l CaCO3,Total,,,,,
00437,"Carbon dioxide acidity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate",Not checked,"Acidity, total, phenolphthalein (as CaCO3)",mg/l CaCO3,Total,,,,,
00440,"Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter",Not checked,Bicarbonate,mg/l,Total,,,,,
00445,"Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, field, milligrams per liter",Not checked,Carbonate (CO3),mg/l,Total,,,,,
00446,"Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter",Not checked,Carbonate (CO3),mg/l,Total,,,,,
00447,"Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter",Not checked,Carbonate (CO3),mg/l,Total,,,,,
00448,"Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, laboratory, milligrams per liter",Not checked,Carbonate (CO3),mg/l,Total,,,,,
00449,"Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter",Not checked,Bicarbonate,mg/l,Total,,,,,
00450,"Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter",Not checked,Bicarbonate,mg/l,Total,,,,,
